,stroke_size
Rat081-24h,0.28436513526910334
Rat086-24h,0.6799104834649534
Rat088-24h,0.18988081045415978
Rat091-24h,3.5617176469414327
Rat093-24h,0.24862214649581862
Rat095-24h,0.6723908480350124
Rat102-24h,0.49566162936051994
Rat110-24h,1.0972954807790651
Rat114-24h,1.410432412098354
Rat115-24h,0.5432676658865105
Rat121-24h,0.764363737333824
Rat152-24h,2.913951807300596
Rat166-24h,2.961119251292867
Rat168-24h,1.0874488051698865
Rat170-24h,0.9173063048521749
Rat171-24h,3.9900526723423613
Rat180-24h,4.595477083081388
